parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
ka_pop,1.5490239657482,,0.26386958613395,17.0345709277969,1.11701,2.14812
beta_ka_cWEIGHT,0.0422014955361724,,0.0185336685419222,43.9170894454115,0.00587617,0.0785268
V_pop,0.455301641353179,,0.0195812594601573,4.30072235232029,0.418545,0.495286
Cl_pop,0.0402504279291081,,0.00342626550457228,8.51237037928356,0.0340959,0.0475159
omega_ka,0.528857361307885,56.8084368140345,0.123150206710997,23.2860910560915,0.340779,0.820738
omega_V,0.116826483468501,11.7226243689925,0.0372000643017806,31.8421501677833,0.0651616,0.209455
omega_Cl,0.273746331213602,27.8955739080023,0.0634901203069264,23.1930488439626,0.176682,0.424136
a,0.431617746234942,,0.123818383433936,28.6870464697108,0.253552,0.734737
b,0.0564230622352716,,0.0238027467303131,42.1862015057974,0.0268609,0.11852
